song names
CHICKEN TERIYAKI - ROSALÍA
HENTAI - ROSALÍA
in heat. - Hentai Xander
Tattica - Fulminacci
Scrivile Scemo - Pinguini Tattici Nucleari
Un fatto tuo personale - Fulminacci
La Scelta - Caparezza
Magari no - Tommaso Paradiso
Inverno dei fiori - Michele Bravi
Mi Fiderò (feat. Madame) - Marco Mengoni
C'est la vie (feat. Fiorella Mannoia) - Achille Lauro
Dio È Morto - Zucchero
Bohémien - Pinguini Tattici Nucleari
Cry of Achilles - Alter Bridge
Senza Fiato - Negramaro
Paris - Après La Classe
Till There Was You - JJ Heller
Mamma Mia Medley: Mamma Mia / Dancing Queen / Super Trouper - Anthem Lights
lupo - rovere
Santa Marinella - Fulminacci
Come la Luna - Management
CI SARÒ - Alfa
Tommaso - Fulminacci
A Hard Day's Night - Remastered - The Beatles
Finché Non Mi Seppelliscono - BLANCO
A New Fear - Dance With the Dead
Majica - Lana Jurcevic
Sour Girl - Stone Temple Pilots
Cheerleader - St. Vincent
bim bum bam - rovere
Won’t Stand Down - Muse
Hysteria - Muse
Psychosocial - Slipknot
Before I Forget - Slipknot
Resta - Emma Nolde
Do You Want To - Franz Ferdinand
L'anima non conta - The Zen Circus
The Fox (What Does the Fox Say?) [Metal Version] - Leo
Altrove - Eugenio In Via Di Gioia
I Don't Know - Paul McCartney
Guerra di pace - Ze Firo
Non vedo l’ora di abbracciarti - Eugenio In Via Di Gioia
Annie's Song - John Denver
You Got It - Roy Orbison
Billie Jean - Michael Jackson
Siamo Qui - Vasco Rossi
La mia città - OveR
